tanggal,co_dki1,Tavg,RH_avg,ss,ff_avg
9/27/2018,17,28.6,71,6.8,2
9/28/2018,16,28.8,69,7,1
9/29/2018,17,28.6,67,8,1
9/30/2018,12,29.2,68,8.4,1
10/1/2018,15,29.3,71,7.6,2
10/2/2018,19,29,73,6.3,1
10/3/2018,17,29.4,72,5.5,2
10/4/2018,17,29.5,75,6.6,2
10/5/2018,16,30.8,67,6.8,2
10/6/2018,20,29.5,71,8,1
10/7/2018,11,30.1,63,8.3,1
10/8/2018,14,29.8,63,7,1
10/9/2018,15,30.5,58,8,2
10/10/2018,18,29.6,67,8.2,1
10/11/2018,17,30.1,68,8,1
10/12/2018,17,29.6,73,8,1
10/13/2018,20,29.9,67,7.2,1
10/14/2018,14,29.2,73,2.5,1
10/15/2018,16,30,71,6.5,1
10/16/2018,19,29.4,74,7,1
10/17/2018,19,29.5,73,7.2,1
10/18/2018,18,29.2,69,4.3,1
10/19/2018,20,28.8,71,6,1
10/20/2018,16,29.5,72,5.6,1
10/21/2018,14,30.2,68,6,1
10/22/2018,14,29.9,71,7.5,1
10/23/2018,14,27,83,5,1
10/24/2018,27,29.4,73,2,1
10/25/2018,17,29.6,73,8.5,1
10/26/2018,18,29.9,74,8.9,1
10/27/2018,18,29.1,74,9,1
10/28/2018,12,29.1,76,3,2
10/29/2018,24,28.6,80,5.4,1
10/30/2018,22,28.7,79,6.9,1
10/31/2018,16,29.7,71,2,1
11/1/2018,26,29.4,71,3.7,1
11/2/2018,21,28.9,76,4,1
11/3/2018,21,28.7,75,3.2,2
11/4/2018,17,28.8,76,0.3,1
11/5/2018,20,29.4,75,4.5,1
11/6/2018,19,29.7,69,0.8,1
11/7/2018,23,29,77,5,1
11/8/2018,23,28.4,80,1.3,1
11/9/2018,18,27.8,84,0,1
11/10/2018,32,28.5,76,2,1
11/11/2018,23,28.4,79,5,1
11/12/2018,20,28.9,77,1,1
11/13/2018,20,29.1,74,0.3,1
11/14/2018,18,29.3,70,3.2,2
11/15/2018,9,29.9,65,1.5,2
11/16/2018,19,30.5,71,7,1
11/17/2018,18,30.4,67,8.2,1
11/18/2018,14,29.8,69,7,1
11/19/2018,18,29.6,72,0.4,1
11/20/2018,17,29.3,73,5.5,1
11/21/2018,21,29.8,70,5.7,1
11/22/2018,20,28.7,78,2,1
11/23/2018,23,27.8,82,5.3,1
